Run Name,Layer ID,Array Size,Ifmap SRAM Size (kB),Filter SRAM Size (kB),OFMAP SRAM Size (kB),Cycles,Stalls,Avg DRAM IFMAP BW,Avg DRAM Filter BW,Avg DRAM OFMAP BW,Cost
scale_run_512x128_ifmap283_filter691_ofmap49,0,512x128,283,691,49,52202,48028,19.997584832749666,20.0,6.220297241733768,2412665.880052184
scale_run_512x128_ifmap283_filter691_ofmap49,1,512x128,283,691,49,290411,272618,19.99730716798223,19.99895644006922,0.8275083005762699,11855672.423756484
scale_run_128x512_ifmap40_filter864_ofmap120,0,128x512,40,864,120,163626,152254,19.980609637863644,20.0,5.446003725605411,7432975.038210987
scale_run_128x512_ifmap40_filter864_ofmap120,1,128x512,40,864,120,376773,352825,19.98054077555879,19.99924652837951,2.3504461337417624,15948889.043015027
scale_run_128x512_ifmap66_filter691_ofmap266,0,128x512,66,691,266,108967,97595,19.988354531724802,20.0,8.457185015483482,5278965.107840645
scale_run_128x512_ifmap66_filter691_ofmap266,1,128x512,66,691,266,398013,374065,19.988222765144396,19.99895644006922,2.36792081562623,16857880.424594533
scale_run_128x512_ifmap151_filter518_ofmap354,0,128x512,151,518,354,163175,151803,19.994948280009623,20.0,5.4892917225866205,7421890.862423643
scale_run_128x512_ifmap151_filter518_ofmap354,1,128x512,151,518,354,214738,190790,19.994933555693944,19.998580635431775,4.251722086940608,9501133.547879407
scale_run_256x256_ifmap404_filter518_ofmap101,0,256x256,404,518,101,54634,47053,19.998388734028325,20.0,10.240563459741542,2744754.914154423
scale_run_256x256_ifmap404_filter518_ofmap101,1,256x256,404,518,101,213723,201306,19.998281325527685,19.998580635431775,2.0109700063520326,8978039.871549714
scale_run_128x512_ifmap444_filter432_ofmap148,0,128x512,444,432,148,50113,38741,19.998592515702246,20.0,15.929263565891473,2802712.651816906
scale_run_128x512_ifmap444_filter432_ofmap148,1,128x512,444,432,148,303966,280018,19.99912029909831,19.998256416548543,2.7361119289223863,12989527.609335132
scale_run_256x256_ifmap354_filter518_ofmap151,0,256x256,354,518,151,49803,42222,19.99816119007778,20.0,12.539183937823834,2616517.3994048843
scale_run_256x256_ifmap354_filter518_ofmap151,1,256x256,354,518,151,213723,201306,19.998108657619746,19.998580635431775,2.0301956396560037,8982111.928473048
scale_run_256x256_ifmap61_filter777_ofmap185,0,256x256,61,777,185,108372,100791,19.987386778052993,20.0,6.122003920989944,4996966.888836682
scale_run_256x256_ifmap61_filter777_ofmap185,1,256x256,61,777,185,292792,280375,19.98727211470071,19.999138240574506,1.9132201326116016,12267876.609809356
scale_run_512x128_ifmap99_filter691_ofmap233,0,512x128,99,691,233,53765,49591,19.99247190407055,20.0,10.230395265271612,2700232.453359681
scale_run_512x128_ifmap99_filter691_ofmap233,1,512x128,99,691,233,292071,274278,19.992181524602703,19.99895644006922,1.5249025978592627,12125631.483139044
scale_run_256x256_ifmap63_filter604_ofmap357,0,256x256,63,604,357,108672,101091,19.987790544049712,20.0,6.879723294875744,5093186.463903707
scale_run_256x256_ifmap63_filter604_ofmap357,1,256x256,63,604,357,292627,280210,19.98767646988735,19.998792890122825,2.393408061106788,12401496.390109194
scale_run_512x128_ifmap414_filter432_ofmap177,0,512x128,414,432,177,53528,49354,19.998427648233463,20.0,8.77076411960133,2610517.2969486606
scale_run_512x128_ifmap414_filter432_ofmap177,1,512x128,414,432,177,258213,240420,19.99819523459899,19.99826717847685,1.372597675537437,10682029.1126611
scale_run_256x256_ifmap126_filter518_ofmap379,0,256x256,126,518,379,107041,99460,19.993984523820373,20.0,6.403951749840122,4966481.496668893
scale_run_256x256_ifmap126_filter518_ofmap379,1,256x256,126,518,379,249875,237458,19.993881726624423,19.998580635431775,3.1907939754692407,10790416.17733917
scale_run_128x512_ifmap84_filter604_ofmap336,0,128x512,84,604,336,162347,150975,19.990828548893006,20.0,5.734332936212787,7423342.79162247
scale_run_128x512_ifmap84_filter604_ofmap336,1,128x512,84,604,336,743083,719135,19.99076227986933,19.998733066309462,1.1876744017620169,30598054.8278091
scale_run_512x128_ifmap354_filter518_ofmap151,0,512x128,354,518,151,46290,42116,19.99816119007778,20.0,9.395017793594306,2286410.255154181
scale_run_512x128_ifmap354_filter518_ofmap151,1,512x128,354,518,151,272333,254540,19.997864639497763,19.998580635431775,1.1197455123835491,11197295.585681336
scale_run_128x512_ifmap414_filter432_ofmap177,0,128x512,414,432,177,53889,42517,19.998427648233463,20.0,15.720871903137914,3002657.333523852
